iter	Passed	Remaining
414	3117	4394
415	3125	4387
416	3133	4380
417	3140	4373
418	3148	4365
419	3156	4358
420	3164	4352
421	3172	4344
422	3179	4337
423	3187	4329
424	3195	4322
425	3202	4315
426	3209	4307
427	3217	4299
428	3225	4293
429	3232	4284
430	3240	4277
431	3247	4270
432	3255	4262
433	3262	4254
434	3269	4247
435	3276	4238
436	3283	4229
437	3290	4222
438	3297	4214
439	3305	4207
440	3312	4198
441	3319	4190
442	3327	4183
443	3335	4176
444	3342	4168
445	3350	4161
446	3357	4153
447	3364	4145
448	3371	4137
449	3379	4130
450	3387	4123
451	3394	4114
452	3401	4107
453	3408	4099
454	3415	4091
455	3423	4083
456	3430	4075
457	3437	4068
458	3444	4060
459	3452	4053
460	3459	4045
461	3467	4037
462	3474	4030
463	3482	4022
464	3489	4014
465	3501	4012
466	3509	4005
467	3517	3998
468	3524	3990
469	3531	3982
470	3539	3975
471	3546	3967
472	3554	3960
473	3561	3952
474	3568	3944
475	3576	3936
476	3583	3929
477	3590	3921
478	3597	3913
479	3604	3905
480	3611	3897
481	3619	3889
482	3626	3882
483	3634	3874
484	3641	3867
485	3649	3859
486	3656	3851
487	3664	3844
488	3671	3836
489	3678	3829
490	3685	3821
491	3692	3812
492	3699	3804
493	3706	3796
494	3714	3789
495	3721	3781
496	3728	3773
497	3736	3766
498	3744	3759
499	3751	3751
500	3758	3743
501	3765	3735
502	3772	3727
503	3780	3720
504	3786	3711
505	3794	3704
506	3801	3696
507	3808	3688
508	3816	3681
509	3824	3674
510	3832	3667
511	3839	3659
512	3846	3651
513	3854	3644
514	3861	3636
515	3868	3628
516	3875	3620
517	3883	3613
518	3889	3605
519	3897	3597
520	3903	3589
521	3910	3581
522	3918	3573
523	3926	3566
524	3933	3558
525	3940	3551
526	3948	3543
527	3956	3536
528	3963	3528
529	3970	3521
530	3978	3513
531	3985	3505
532	3993	3498
533	4000	3491
534	4007	3483
535	4014	3475
536	4022	3467
537	4029	3460
538	4036	3452
539	4044	3444
540	4051	3437
541	4058	3429
542	4065	3421
543	4073	3414
544	4081	3407
545	4088	3399
546	4096	3392
547	4104	3385
548	4111	3377
549	4118	3369
550	4126	3362
551	4133	3355
552	4141	3348
553	4149	3340
554	4156	3332
555	4163	3324
556	4171	3317
557	4180	3311
558	4188	3304
559	4196	3297
560	4205	3290
561	4213	3283
562	4221	3276
563	4228	3269
564	4235	3261
565	4242	3253
566	4251	3246
567	4258	3238
568	4265	3231
569	4273	3223
570	4281	3216
571	4288	3208
572	4295	3200
573	4301	3192
574	4309	3185
575	4316	3177
576	4324	3170
577	4332	3163
578	4339	3155
579	4346	3147
580	4353	3139
581	4361	3132
582	4369	3125
583	4376	3117
584	4387	3112
585	4394	3104
586	4401	3097
587	4409	3089
588	4416	3081
589	4423	3074
590	4431	3066
591	4438	3059
592	4446	3051
593	4453	3044
594	4461	3036
595	4468	3029
596	4475	3021
597	4483	3013
598	4490	3006
599	4497	2998
600	4504	2990
601	4512	2983
602	4519	2975
603	4526	2967
604	4533	2960
605	4541	2952
606	4548	2944
607	4555	2937
608	4562	2929
609	4570	2922
610	4578	2914
611	4585	2907
612	4593	2899
613	4600	2892
614	4607	2884
615	4615	2877
616	4622	2869
617	4630	2862
618	4638	2855
619	4651	2850
620	4659	2843
621	4667	2836
622	4674	2828
623	4681	2821
624	4689	2813
625	4697	2806
626	4704	2798
627	4712	2791
628	4720	2784
629	4727	2776
630	4735	2769
631	4743	2761
632	4750	2754
633	4758	2746
634	4766	2739
635	4774	2732
636	4782	2725
637	4790	2718
638	4798	2710
639	4806	2703
640	4813	2695
641	4820	2688
642	4827	2680
643	4834	2672
644	4842	2665
645	4850	2657
646	4858	2650
647	4865	2642
648	4873	2635
649	4880	2628
650	4888	2620
651	4896	2613
652	4904	2606
653	4911	2598
654	4919	2591
655	4926	2583
656	4933	2575
657	4941	2568
658	4949	2561
659	4957	2553
660	4964	2546
661	4971	2538
662	4978	2530
663	4985	2522
664	4993	2515
665	5000	2507
666	5008	2500
667	5016	2493
668	5024	2485
669	5031	2478
670	5040	2471
671	5047	2463
672	5056	2456
673	5063	2449
674	5071	2441
675	5080	2435
676	5088	2427
677	5095	2420
678	5103	2412
679	5111	2405
680	5119	2398
681	5127	2390
682	5135	2383
683	5142	2375
684	5150	2368
685	5158	2361
686	5166	2353
687	5174	2346
688	5182	2339
689	5189	2331
690	5197	2324
691	5205	2317
692	5214	2310
693	5223	2303
694	5231	2295
695	5240	2288
696	5248	2281
697	5257	2274
698	5264	2267
699	5272	2259
700	5280	2252
701	5288	2245
702	5297	2237
703	5304	2230
704	5313	2223
705	5321	2215
706	5330	2209
707	5339	2202
708	5347	2194
709	5356	2187
710	5365	2180
711	5374	2173
712	5383	2167
713	5391	2159
714	5399	2152
715	5407	2144
716	5414	2137
717	5422	2129
718	5431	2122
719	5439	2115
720	5447	2108
721	5455	2100
722	5462	2092
723	5470	2085
724	5478	2078
725	5487	2071
726	5496	2063
727	5503	2056
728	5511	2049
729	5519	2041
730	5528	2034
731	5535	2026
732	5544	2019
733	5552	2012
734	5561	2005
735	5569	1997
736	5577	1990
737	5586	1983
738	5594	1975
739	5603	1968
740	5611	1961
741	5619	1953
742	5627	1946
743	5635	1939
744	5643	1931
745	5650	1924
746	5662	1917
747	5669	1910
748	5677	1902
749	5685	1895
750	5693	1887
751	5701	1880
752	5710	1873
753	5718	1865
754	5725	1858
755	5733	1850
756	5741	1843
757	5748	1835
758	5756	1827
759	5764	1820
760	5771	1812
761	5779	1805
762	5787	1797
763	5794	1789
764	5802	1782
765	5809	1774
766	5816	1767
767	5824	1759
768	5832	1751
769	5840	1744
770	5847	1736
771	5855	1729
772	5862	1721
773	5870	1714
774	5878	1706
775	5886	1699
776	5893	1691
777	5901	1683
778	5908	1676
779	5915	1668
780	5922	1660
781	5930	1653
782	5938	1645
783	5945	1638
784	5953	1630
785	5961	1622
786	5969	1615
787	5976	1607
788	5983	1600
789	5991	1592
790	5998	1585
791	6006	1577
792	6013	1569
793	6020	1562
794	6028	1554
795	6035	1546
796	6042	1539
797	6050	1531
798	6057	1523
799	6065	1516
800	6073	1509
801	6082	1501
802	6089	1493
803	6097	1486
804	6104	1478
805	6112	1471
806	6119	1463
807	6126	1455
808	6135	1448
809	6142	1440
810	6149	1433
811	6156	1425
812	6163	1417
813	6170	1410
814	6178	1402
815	6186	1394
816	6193	1387
817	6201	1379
818	6208	1372
819	6216	1364
820	6223	1356
821	6231	1349
822	6238	1341
823	6245	1334
