iter	Passed	Remaining
414	3188	4494
415	3201	4494
416	3209	4486
417	3217	4479
418	3225	4472
419	3233	4465
420	3242	4459
421	3250	4452
422	3258	4445
423	3266	4437
424	3275	4431
425	3284	4425
426	3292	4417
427	3299	4409
428	3307	4401
429	3315	4394
430	3322	4386
431	3331	4380
432	3338	4372
433	3346	4364
434	3354	4356
435	3363	4350
436	3370	4342
437	3379	4336
438	3387	4328
439	3396	4322
440	3404	4315
441	3412	4308
442	3421	4301
443	3428	4293
444	3436	4286
445	3444	4278
446	3451	4270
447	3458	4261
448	3466	4253
449	3473	4245
450	3481	4237
451	3488	4229
452	3495	4221
453	3503	4213
454	3510	4204
455	3517	4196
456	3525	4189
457	3534	4182
458	3542	4174
459	3549	4166
460	3557	4159
461	3565	4151
462	3572	4143
463	3581	4136
464	3588	4129
465	3595	4120
466	3603	4112
467	3610	4103
468	3617	4095
469	3624	4087
470	3631	4078
471	3638	4070
472	3646	4062
473	3653	4054
474	3660	4046
475	3668	4038
476	3675	4030
477	3683	4022
478	3690	4013
479	3697	4005
480	3704	3996
481	3711	3988
482	3718	3980
483	3725	3971
484	3732	3963
485	3739	3955
486	3747	3947
487	3754	3939
488	3761	3931
489	3769	3923
490	3777	3916
491	3784	3907
492	3792	3899
493	3799	3891
494	3806	3883
495	3813	3875
496	3820	3866
497	3827	3857
498	3833	3849
499	3840	3840
500	3848	3832
