iter	Logloss
0	0.6297274353
1	0.5913246534
2	0.5551100944
3	0.5091136829
4	0.4791950896
5	0.450617638
6	0.4256433216
7	0.4034192155
8	0.3779562496
9	0.3626733772
10	0.3474041106
11	0.3358013729
12	0.3232191897
13	0.3089280146
14	0.2942166736
15	0.2834151211
16	0.2729263772
17	0.2618895318
18	0.2546729756
19	0.2470798353
20	0.2419018293
21	0.2358589071
22	0.2323071091
23	0.2265935734
24	0.221288409
25	0.2164079683
26	0.211528766
27	0.2071431883
28	0.202850326
29	0.1985582646
30	0.196385444
31	0.1934896572
32	0.1903038748
33	0.1869406708
34	0.1843062661
35	0.1818055698
36	0.1796073123
37	0.178028778
38	0.1751653647
39	0.1735121901
40	0.1722720971
41	0.1709708103
42	0.1694828581
43	0.1675059324
44	0.1650500114
45	0.1637136327
46	0.1623597136
47	0.1615476372
48	0.1600810479
49	0.1586156036
50	0.1570765354
51	0.1558584925
52	0.1548568588
53	0.1542094594
54	0.1535723662
55	0.1522402572
56	0.1509759671
57	0.150428782
58	0.1491175481
59	0.1480303338
60	0.1472753204
61	0.1465905223
62	0.1456556192
63	0.1450069474
64	0.1443442974
65	0.143466425
66	0.1428227619
67	0.1418031561
68	0.140957761
69	0.1402765871
70	0.1393748052
71	0.1383473245
72	0.1379734925
73	0.1374567139
74	0.1368400662
75	0.1360057346
76	0.1354715669
77	0.1346775997
78	0.1339448144
79	0.1331935871
80	0.1326511497
81	0.1323338686
82	0.1318999096
83	0.1313542622
84	0.1308397568
85	0.1301703106
86	0.1297138509
87	0.1294288688
88	0.1289626491
89	0.1285751936
90	0.1280013523
91	0.1277183584
92	0.1272574243
93	0.1268726774
94	0.1264843528
95	0.126022853
96	0.1257402917
97	0.1253447209
98	0.1249052258
99	0.1243278639
100	0.1239827785
101	0.1237499501
102	0.1233494378
103	0.1229621833
104	0.1225132206
105	0.1222408814
106	0.12172015
107	0.1214164899
108	0.1210978341
109	0.1208068045
110	0.1204636755
111	0.120116294
112	0.1198957416
113	0.1195666605
114	0.1192512528
115	0.1189525283
116	0.1186016488
117	0.1183167452
118	0.1180908166
119	0.1176758861
120	0.1174306094
121	0.1170376386
122	0.1166781272
123	0.1164096919
124	0.1160183614
125	0.115686187
126	0.1154094925
127	0.1152653363
128	0.1150721605
129	0.1148557002
130	0.1145249031
131	0.1142251158
132	0.1139290456
133	0.1136720112
134	0.113443275
135	0.1132610545
136	0.113042994
137	0.1128577546
138	0.1127020188
139	0.1125938078
140	0.1123815756
141	0.1121533891
142	0.1118538326
143	0.1116279507
144	0.1115337398
145	0.1112235726
146	0.1110779055
147	0.1109668179
148	0.1107712101
149	0.1106320561
150	0.1105332489
151	0.1103687668
152	0.1102109661
153	0.1099619381
154	0.10978159
155	0.1096458595
156	0.1095425097
157	0.1092519004
158	0.1091299686
159	0.1089915536
160	0.1088604948
161	0.1086530611
162	0.1085396456
163	0.1084377767
164	0.1083109085
165	0.108183417
166	0.1080613196
167	0.1077952581
168	0.107734634
169	0.1074691342
170	0.1072790306
171	0.1069654645
172	0.1068588706
173	0.1066467399
174	0.106481603
175	0.1062973625
176	0.1061612986
177	0.1059896558
178	0.1058944129
179	0.1057299834
180	0.1056596525
181	0.1055183049
182	0.1052382223
183	0.1050728349
184	0.1049450765
185	0.1048517588
186	0.1046545744
187	0.1044545218
188	0.1042951586
189	0.104090495
190	0.1039987335
191	0.10383853
192	0.1036900407
193	0.1036014028
194	0.1034363719
195	0.1033143837
196	0.1030696225
197	0.1028611455
198	0.102821513
199	0.1026554659
200	0.1025754063
201	0.1023555692
202	0.1022293495
203	0.1020785139
204	0.1020213212
205	0.1018975433
206	0.101777884
207	0.1016481529
208	0.1014470555
209	0.1013010164
210	0.1011517975
211	0.1010185291
212	0.1008951579
213	0.1007961305
214	0.1006268134
215	0.1005354391
216	0.1003765886
217	0.1001439928
218	0.09992526334
219	0.09979269697
220	0.09974017807
221	0.0996819581
222	0.09957985654
223	0.09948276095
224	0.09939256809
225	0.0992487744
226	0.09915001312
227	0.09901493658
228	0.09888768607
229	0.09877006654
230	0.0987096403
231	0.09852054157
232	0.09842089162
233	0.09836295885
234	0.09822814153
235	0.09804008283
236	0.09797684421
237	0.09788630339
238	0.09779139432
239	0.09764722428
240	0.09753230512
241	0.09747286436
242	0.09739887398
243	0.09734950179
244	0.09725497596
245	0.09709512738
246	0.09694823828
247	0.09689949261
248	0.0967932635
249	0.09669275172
250	0.09654050343
251	0.09636333296
252	0.09627930148
253	0.09613236225
254	0.09597338966
255	0.09585085367
256	0.09576970652
257	0.09556765796
258	0.09545540395
259	0.0953260583
260	0.09525755059
261	0.09518524203
262	0.09513134627
263	0.09508155478
264	0.09500955903
265	0.09489881781
266	0.09483543755
267	0.09474734064
268	0.0945538843
269	0.09448329677
270	0.09430952986
271	0.09419358831
272	0.09404495929
273	0.09397439983
274	0.09390621029
275	0.09381093382
276	0.09377435476
277	0.0936211392
278	0.09352831875
279	0.09343956423
280	0.09337124705
281	0.09329665556
282	0.09322564274
283	0.09317854097
284	0.09312367377
285	0.09302595529
286	0.09296477752
287	0.09287762917
288	0.09281432267
289	0.09272466891
290	0.09267193079
291	0.09249566591
292	0.09242515466
293	0.09228562835
294	0.09218317186
295	0.09213021453
296	0.0920346799
297	0.09190032261
298	0.09186275176
299	0.09173392916
300	0.09161856309
301	0.09154132079
302	0.09148513377
303	0.09142986845
304	0.09136690076
305	0.09130723028
306	0.09125210048
307	0.09111331582
308	0.09106680585
309	0.09097501845
310	0.09089289571
311	0.090769385
312	0.09068681064
313	0.09057863186
314	0.09052022563
315	0.09046220269
316	0.09029824887
317	0.09019797652
318	0.09014374086
319	0.09004737331
320	0.08998682508
321	0.08993203146
322	0.0898872064
323	0.08978860084
324	0.08966041855
325	0.08960939395
326	0.08954712863
327	0.08945213233
328	0.08936974087
329	0.08923371328
330	0.08917991961
331	0.08913523876
332	0.08901147004
333	0.08892310237
334	0.08883288531
335	0.08875643535
336	0.08871496488
337	0.08862795667
338	0.08855346803
339	0.08847307917
340	0.08839231609
341	0.08832751782
342	0.0882749404
343	0.08823283655
344	0.08813251483
345	0.08805372504
346	0.08799424461
347	0.08793392156
348	0.08782432349
349	0.0877555207
350	0.08762972332
351	0.08754950905
352	0.08745004127
353	0.08738657505
354	0.08730408967
355	0.08725141711
356	0.08717814466
357	0.0870509503
358	0.08694491914
359	0.08690697465
360	0.08685226934
361	0.08674418163
362	0.08670632909
363	0.08664652998
364	0.08651233773
365	0.08640450569
366	0.08633099865
367	0.08629122498
368	0.08623896113
369	0.08619683636
370	0.08614692329
371	0.08607939259
372	0.0860430222
373	0.08600810993
374	0.08591942767
375	0.08585745019
376	0.08581489
377	0.08573756374
378	0.08569735204
379	0.08561409849
380	0.08550011185
381	0.08539941045
382	0.08535147486
383	0.08524076836
384	0.08515386265
385	0.08511504097
386	0.08508368193
387	0.08504536182
388	0.08495902431
389	0.08491459693
390	0.08487653662
391	0.08484324963
392	0.08480165245
393	0.0847530159
394	0.08469397554
395	0.08465957221
396	0.08456897668
397	0.08451738414
398	0.08446110774
399	0.08438548629
400	0.08432411589
401	0.08429136291
402	0.08424299583
403	0.08420420069
404	0.08412435614
405	0.08409230348
406	0.0840431595
407	0.0840238165
408	0.08391818574
409	0.08388671669
410	0.08383622299
411	0.08378962124
412	0.08374927943
413	0.08364748047
414	0.08360675553
415	0.08355577736
416	0.08352446305
417	0.08341113461
418	0.08335659825
419	0.0833255229
420	0.08326261443
421	0.08323241268
422	0.08321246529
423	0.08311641794
424	0.08304022557
425	0.08299733984
426	0.08295863489
427	0.08288234638
428	0.08276415858
429	0.08270725239
430	0.08262742777
431	0.082600381
432	0.08255647283
433	0.0824654832
434	0.08238190827
435	0.08234581535
436	0.08229137055
437	0.08226103434
438	0.08221009087
439	0.08216342052
440	0.08213666513
441	0.08208271766
442	0.08205749063
443	0.08202417353
444	0.0819828132
445	0.08189558265
446	0.08185622258
447	0.08181494859
448	0.08173094772
449	0.08170056744
450	0.08162241351
451	0.08158779607
452	0.08154194344
453	0.08149510916
454	0.0814439448
455	0.08129140683
456	0.0812598266
457	0.08123869639
458	0.08114891314
459	0.08112201688
460	0.08106809792
461	0.08104620674
462	0.08100534871
463	0.08096068461
464	0.08091045717
465	0.08088670557
466	0.08085439774
467	0.08081502228
468	0.08077091609
469	0.08070299147
470	0.08065842373
471	0.08061181844
472	0.08049103692
473	0.08042123696
474	0.08039680916
475	0.08035767592
476	0.08033339313
477	0.08025460424
478	0.08023107249
479	0.08018112918
480	0.08010637014
481	0.08005833461
482	0.08001693994
483	0.07994054054
484	0.07991668415
485	0.07985536021
486	0.07983116275
487	0.07978812129
488	0.07974615393
489	0.07971125955
490	0.07968136704
491	0.07964424666
492	0.07960666893
493	0.07957038494
494	0.0795238637
495	0.07950664681
496	0.07946644211
497	0.07942109715
498	0.0793420022
499	0.07930682829
500	0.07927312136
501	0.07920481119
502	0.07915267458
503	0.07913095266
504	0.07909782326
505	0.07906760209
506	0.0789780478
507	0.07894426354
508	0.0789286783
509	0.07889588227
510	0.07887017459
511	0.07883754703
512	0.07873433939
513	0.07862669937
514	0.07858880254
515	0.07855365672
516	0.07852376813
517	0.07843951983
518	0.0783716056
519	0.07834029337
520	0.07827411196
521	0.07821679286
522	0.07813696633
523	0.07809816603
524	0.07805032481
525	0.07802359459
526	0.07799852927
527	0.07795819991
528	0.07792392396
529	0.07789405858
530	0.07784759196
531	0.07775202764
532	0.07770187453
533	0.07767019127
534	0.07759903898
535	0.07754967431
536	0.07751247132
537	0.07746781874
538	0.07744579036
539	0.07742647377
540	0.07739807053
541	0.07735569281
542	0.07730835567
543	0.07726409412
544	0.07721329287
545	0.07716822168
546	0.07713514379
547	0.07705915554
548	0.07698810551
549	0.0769293839
550	0.07689679581
551	0.07686340906
552	0.07682551646
553	0.07678998589
554	0.07674399265
555	0.0767037141
556	0.07665784751
557	0.07662521935
558	0.07653487412
559	0.07649563209
560	0.07642548646
561	0.07640910801
562	0.07638723173
563	0.07633731278
564	0.07630897939
565	0.07627902672
566	0.07625781908
567	0.07623257193
568	0.07619654557
569	0.07617389869
570	0.0761488599
571	0.07611381439
572	0.07610310487
573	0.07605125478
574	0.07599370066
575	0.07593446539
576	0.07588590231
577	0.07585222055
578	0.07581033951
579	0.07576296456
580	0.07573873281
581	0.07569315669
582	0.07566651995
583	0.07562447819
584	0.0755417343
585	0.07549870954
586	0.07547106128
587	0.07544603523
588	0.07542853215
589	0.07538227949
590	0.07535069886
591	0.07533024855
592	0.07531373952
593	0.07526389002
594	0.07524111959
595	0.07521822963
596	0.07519046362
597	0.07518047048
598	0.07513205368
599	0.07507337612
600	0.07500929338
601	0.07498942375
602	0.0749169155
603	0.07489794204
604	0.07484651072
605	0.07482778964
606	0.0747889071
607	0.07474334704
608	0.07470467233
609	0.07465757924
610	0.07463806692
611	0.07461474647
612	0.07459267339
613	0.07457466555
614	0.07453277072
615	0.07448310184
616	0.07446423188
617	0.0744197915
618	0.07439716756
619	0.0743318325
620	0.07430150639
621	0.0742318409
622	0.07420081551
623	0.07414307857
624	0.0741156537
625	0.07407899871
626	0.07405688355
627	0.07398418776
628	0.07395902618
629	0.07394003925
630	0.07388407009
631	0.07385801283
632	0.07379676521
633	0.0737636398
634	0.07373782073
635	0.07370236646
636	0.07368504978
637	0.07365935928
638	0.0736382078
639	0.07360589218
640	0.07356578421
641	0.07355274708
642	0.07348165681
643	0.07345989503
644	0.07342452086
645	0.07337240464
646	0.07331345594
647	0.07329314518
648	0.07326220311
649	0.07322728426
